RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,comment
1,1,289,340,0.85,200508,200508,FIRST_TERM,,use as dummt
1,2,269,340,0.791176471,200508,200608,FIRST_TERM,,
1,3,273,340,0.802941176,200608,200708,FIRST_TERM,,
1,4,292,340,0.858823529,200708,200708,FIRST_TERM,,
1,5,255,340,0.75,200708,200808,FIRST_TERM,,
1,6,274,340,0.805882353,200808,200808,FIRST_TERM,,
1,7,263,340,0.773529412,200808,200908,FIRST_TERM,,
1,8,264,340,0.776470588,200908,200908,FIRST_TERM,,
1,9,265,340,0.779411765,200908,201008,FIRST_TERM,,
1,10,233,340,0.685294118,201008,201008,FIRST_TERM,,
